rand_lat,rand_lng,closest_city,country,Temp,Humidity,Date,Wind Speed,Cloudiness
-19.872336725455924,147.09619053122873,ayr,au,57.2,93.0,06/17/2018,10.29,75.0
-14.191086838173831,-74.68581463674106,palpa,pe,66.03,46.0,06/17/2018,2.59,0.0
67.23610204672065,100.00607693038074,tura,ru,74.49,98.0,06/17/2018,3.38,92.0
40.41978872869211,59.9368644335776,dasoguz,tm,73.4,35.0,06/17/2018,9.17,0.0
-57.09421589315145,-35.394920546074104,mar del plata,ar,54.42,56.0,06/17/2018,15.46,0.0
3.4452996727262217,-48.99849449356631,amapa,br,87.8,79.0,06/17/2018,8.05,75.0
-47.534660434932874,-73.33914995236005,coihaique,cl,44.6,93.0,06/17/2018,4.7,90.0
-2.610029884514333,163.8468997954364,auki,sb,73.59,83.0,06/17/2018,3.38,12.0
-13.883512041411976,112.52676676487249,ambulu,id,72.87,100.0,06/17/2018,5.39,0.0
-20.801404252545254,-44.60674931125658,oliveira,br,66.12,74.0,06/17/2018,5.73,32.0
42.3813881315705,-67.80104195609633,bar harbor,us,71.6,48.0,06/17/2018,6.93,1.0
-15.256729203570785,97.58524378886841,labuhan,id,69.45,92.0,06/17/2018,2.15,20.0
11.22429626587109,-50.13903406200109,sinnamary,gf,81.24,94.0,06/17/2018,10.65,68.0
-25.77031857474158,-77.26903168673832,taltal,cl,64.05,78.0,06/17/2018,1.92,0.0
54.66385616736201,-10.380549848714168,westport,ie,51.8,93.0,06/17/2018,13.87,75.0
40.38902522106383,103.94757065945191,jinchang,cn,58.11,78.0,06/17/2018,3.6,92.0
69.08890338637221,-18.68849744687546,dalvik,is,53.6,81.0,06/17/2018,4.7,76.0
57.73706451963952,34.42179703358866,krasnomayskiy,ru,60.8,93.0,06/17/2018,2.24,0.0
31.13442466039298,87.25669413723546,khandbari,np,42.99,67.0,06/17/2018,1.14,44.0
62.56882478110626,-123.67009744524654,fort nelson,ca,78.8,31.0,06/17/2018,12.75,75.0
34.653437570631255,53.76688381325181,semnan,ir,70.89,42.0,06/17/2018,8.97,0.0
5.809743065131386,-0.04727249031063252,aburi,gh,80.6,78.0,06/17/2018,11.41,90.0
40.61890317658546,35.4560536237573,merzifon,tr,62.6,82.0,06/17/2018,3.36,40.0
20.732339594771005,1.1807674763163618,tessalit,ml,96.81,12.0,06/17/2018,9.19,36.0
-14.001935270282658,24.884664143756623,mufumbwe,zm,54.15,71.0,06/17/2018,3.38,0.0
